"מק""ט",תאור מוצר,יחידת מידה,שם נוסף
000,מוצר כללי,יח',
1,פירות וירקות,קג,
10,גזר בשקים,קג,גזר א
100,עגבניה ב,קג,
101,תפוז למיץ,קג,
102,אספרגוס,יח',
103,בצל ירוק תפזורת,קג,בצל ירוק בקג
105,לימון,קג,
106,אשכולית אדומה,קג,
107,אשכולית לבנה,קג,
108,חציל בלאדי,קג,בלאדי
109,אנדיב,קג,
11,גזר באריזה קמעונאית,קג,גזר ארוז
110,זוקיני צהוב,קג,
111,זוקיני ירוק,קג,
112,זנגביל יח,יח',
113,צנונית יח,יח',צנונית
114,לפת,קג,
115,תפוז א,קג,
116,נבטים סיניים,יח',
117,עגבניה תמר,קג,
118,"תפו""א אפיה",קג,תפא אפיה אדום
119,צילי חריף אדום יח,יח',צילי אדום
12,בצל יבש,קג,
13,בצל אדום,קג,
130,בטטה קסביה,קג,קסביה
131,פיטאיה,יח',
132,קורנית יח,יח',קורנית
133,בייבי מיקס תפ,קג,בייבי
134,בייבי מיקס מהדרין,יח',בייבי מהדרין
135,אפרסמון,קג,
136,פטרוזיליה יח,יח',פטרוזיליה
138,שמיר יח,יח',שמיר
139,כוסברה יח,יח',כוסברה
14,שום יבוא,קג,
140,בזיליקום יח,יח',בזיל
141,רוזמרין יח,יח',רוזמרין
142,פטריות שמפניון יח,יח',פטריות ארוז
143,אורגנו יח,יח',אורגנו
144,מרווה יח,יח',מרווה
145,רוקט תפ,קג,רוקט
146,פומלית,קג,
147,חציל ננסי,קג,
148,תות שדה,קג,תות
149,תפוח פינק ליידי,קג,פינק
15,פלפל קליפורני,קג,פלפל ירוק
150,כוסברה מהדרין יח,יח',כוסברה מהדרין
151,פטרוזיליה מהדרין יח,יח',פטרוזליה מהדרין
152,כרוב לבן מהדרין,יח',
153,כרוב אדום מהדרין,יח',
154,נענע מהדרין יח,יח',נענע מהדרין
155,גזר ב,קג,
156,אגס חום,קג,
157,פטריות יער יח,יח',
158,בצל שאלוט תפ,קג,שאלוט
159,פטריות חורש יח,יח',חורש
16,פלפל בהיר,קג,
161,פטריות יער תפ,קג,
162,תפא פריזיין,קג,פריזיין
163,נבטי חמניה,יח',
164,נבטים אלפלפא,יח',אלפלפא
166,זנגויל תפ,קג,זנגויל
167,למון גראס,קג,
168,תפוז סיני,קג,
169,לימון סיני,קג,
17,פלפל אדום,קג,
170,פסיפלורה,קג,
171,קרמבולה,קג,
172,פלפל שושקה,קג,שושקה
175,גויאבה,קג,
176,פפיה,יח',
177,עגבניה שרי תמר,קג,שרי תמר
178,לימון ב,קג,
179,נבטי צנונית,יח',
18,פלפל צהוב חממה,קג,פלפל צהוב
180,אפרסק,קג,
181,נקטרינה,קג,
182,שסק,קג,
183,משמש,קג,
184,דובדבן,קג,
